id,news
93,ارتش یمن یک فروند پهپاد جاسوسی آمریکایی از نوع Scan Eagle را در حال انجام اقدامات خصمانه در آسمان الجوبه در استان مأرب سرنگون کرد.
105,سند الزامات حاکمیتی فناوری هوش مصنوعی تدوین می شودسند الزامات حاکمیتی فناوری هوش مصنوعی تدوین می شودمعاون حقوقی مرکز ملی فضای مجازی از برگزاری نشست‌های تخصصی با هدف تدوین پیش نویس سند هوش مصنوعی کشور در این مرکز و ارائه آن به شورای عالی فضای مجازی برای تصویب و ابلاغ خبر داد.به گزارش خبرگزاری مهر به نقل از مرکز ملی فضای مجازی، امیر خوراکیان با اعلام این خبر گفت: مرکز ملی فضای مجازی در راستای رسالت و مأموریت خود همواره در حال رصد فناوری‌های روز دنیا بوده و پس از مراحل مطالعاتی و جلسات کارشناسی با فرهیختگان، نهادها و سازمان‌های مربوطه، فعالان بخش خصوصی و همه ذی ربطان نسبت به تدوین اسناد مورد نظر و تبیین نحوه مواجهه هوشمندانه ارکان کشور در آن حوزه اقدام می‌کند.وی افزود: بر همین اساس طی سال‌های اخیر مطالعات مبسوطی در خصوص موضوع هوش مصنوعی در این مرکز صورت گرفته است، اما تأکیدات اخیر مقام معظم رهبری موجب شد روند انجام این مطالعات تسریع شود و همچنین برگزاری سلسله نشست‌های تخصصی در این رابطه در دستور کار قرار گرفته تا با بهره مندی از همه دیدگاه‌ها و نظرات در بخش‌های مختلف زمینه تدوین سیاست‌ها و خط مشی کلی کشور در این رابطه فراهم شود.خوراکیان با اشاره به اینکه در این نشست‌ها هوش مصنوعی در شش موضوع مورد بررسی قرار می‌گیرد تصریح کرد: در سلسله نشست‌هایی که پیش بینی شده است مطالعه اسناد راهبردی هوش مصنوعی و اسناد مرتبط با ۱۱ کشور، اسناد بالادستی داخلی مرتبط با هوش مصنوعی، اسناد الزامات فناوری‌های دیجیتال مختلف داخلی مشابه، رویکرد آینده پژوهی و روندها و پیشران‌های آینده، توجه به سیاست‌ها و انتظارات ملی و توجه به نیازهای بخش ملی همچون تحول آموزش و پرورش، سلامت و کشاورزی مورد بحث و بررسی قرار خواهند گرفت.وی با بیان این که سند هوش مصنوعی کشور برای بررسی و تصویب نهایی به شورای عالی فضای مجازی ارائه خواهد شد، گفت: در محتوای این سند، ابعاد و آثار توسعه هوش مصنوعی در عرصه‌های مختلف اقتصادی، فرهنگی، اجتماعی و امنیتی و کارکردهای آن و همچنین نحوه بهره مندی از ظرفیت هوش مصنوعی در عرصه‌های مختلف و حتی تغییر و تحولات احتمالی در ساختار و وظایف دستگاه‌ها مورد توجه قرار خواهد گرفت تا در برنامه ریزی های ملی و فعالیت سایر حوزه‌ها و کسب و کارها راهگشا و مؤثر واقع شود و بخش‌های مربوطه ضمن آشنایی با تحولات جهانی در این حوزه بتوانند حداکثر بهره برداری از ظرفیت‌های آن را در برنامه ریزی ها و فعالیت‌ها در نظر داشته باشند.وی تاکید کرد: این سند اصول سیاست‌های کشور در این حوزه را تبیین کرده تا بر اساس آن، برنامه اقدام در بخش‌های مختلف کشور اعم از حاکمیتی و خصوصی صورت پذیرد و در عین حال در صورت لزوم نیازهای قانونی احتمالی از طریق مجلس شورای اسلامی مرتفع شود.
122,ارتش یمن از سرنگونی پهپاد جاسوسی آمریکایی در مأرب خبر دادارتش یمن یک فروند پهپاد جاسوسی آمریکایی از نوع Scan Eagle را در حال انجام اقدامات خصمانه در آسمان الجوبه در استان مأرب سرنگون کرد.به گزارش گروه بین‌الملل خبرگزاری تسنیم، یحیی سریع، سخنگوی نیروهای مسلح یمن اعلام کرد که ارتش این کشور یک فروند پهپاد آمریکایی از نوع Scan Eagle را در انجام اقدامات خصمانه در آسمان الجوبه در استان مأرب سرنگون کرده است.او امروز شنبه در حساب توییتر خود نوشت که پدافند هوایی ارتش یمن این پهپاد را با سلاح مناسب سرنگون کرده است و این هفتین بار است که پرنده مهاجمی از این نوع طی یک سال در آسمان یمن رهگیری و منهدم می‌شود.سریع تأکید کرد: «نیروهای مسلح یمن تأکید می‌کنند که در انجام مأموریت خود برای حمایت از آسمان یمن با همه ابزارهایی که در اختیار دارند، از هیچ کوششی دریغ نخواهند کرد.»افزاش شمار شهدای حمله ائتلاف سعودی به تعز یمنشبکه المیادین لبنان گزارش داد که شمار شهدای حمله هوایی ائتلاف عربستان سعودی به تعز (جنوب غرب) به 18 نفر افزایش یافته و احتمال دارد شمار شهدا بیشتر از این نیز باشد.
128,وعده اردوغان برای گشایش اقتصادی در ترکیهرئیس‌جمهور ترکیه در سخنانی بعد از افزایش نرخ دلار و ایجاد تورم در این کشور ادعا کرد قیمت‌ها در ترکیه به زودی متعادل خواهد شد.به گزارش باشگاه خبرنگاران جوان به نقل از الجزیره، «رجب طیب اردوغان» رئیس‌جمهور ترکیه بعد از چندین ماه بحران اقتصادی در این کشور ادعا کرد قیمت‌ها به زودی در ترکیه متعادل خواهد و انحصارطلبان نباید به نیت افزایش قیمت‌ها به نگهداری و احتکار مواد غذایی روی بیاورند.اردوغان در ادامه سخنان خود گفت: ما در کنار سرمایه گذاران خواهیم بود و اقداماتی برای کاهش تورم انجام خواهد شد همچنین ذخایر نقدی بانک مرکزی پس از ۲۷ میلیارد دلار به ۱۲۶ میلیارد دلار رسیده است و ترکیه هیچ بدهی به بانک جهانی ندارد.خبرگزاری اسپوتنیک نیز اعلام کرد رئیس‌جمهور ترکیه یک سلسه برنامه‌های اصلاحاتی برای اقتصاد این کشور در نظر گرفته که براساس سخنان او این اصلاحات باعث افزایش شناخت محصولات ترکیه در خارج از این کشور می‌شود و هدفش نشان دادن فرهنگ و میراث این کشور و تایید حسن نیت صادرکنندگان ترکیه است.در بندی از این اصلاحات آمده است: در محصولات صادراتی به جای «ساخت ترکیه» باید تنها از واژه «ترکیه» استفاده شود و در مکاتبه با کشور‌ها و سازمان‌های خارجی نیز از عبارت ترکیه باید بهره برد.پس از سقوط ارزش لیره ترکیه در مقابل دلار آمریکا مردم این کشور در شهر‌های بزرگ مانند آنکارا و استانبول دست به تظاهرات زده و از وضعیت اقتصادی موجود و سیاست‌های اردوغان انتقاد کردند. در همین راستا رئیس‌جمهور ترکیه برای آرام کردن بحران پیش آمده اعلام کرد وضعیت بهتر خواهد شد.اما با وجود وعده‌های اردوغان روز گذشته (جمعه ۱۲ آذرماه) بهای گاز مصرفی بخش صنایع و تولید کنندگان برق در ترکیه ۲۰ درصد دیگر افزایش یافت. این افزایش نرخ گاز در سال جاری برای نهمین باری است که اتفاق می‌افتد. براساس تحلیل کارشناسان این کشور افزایش نرخ گاز در ترکیه افزایش نرخ تورم و تعمیق افسارگسیختگی گرانی کالا‌های اساسی و خدمات را به همراه خواهد داشت.
130,در گفت و گو با باشگاه خبرنگاران جوان مطرح شد؛هشدار هواشناسی درباره کاهش دما به گلخانه‌داران و کشاورزانمدیرکل پایش هواشناسی کشاورزی گفت: با توجه به کاهش دمای صبحگاهی گلخانه داران جنوب شرق کشور تمهیدات لازم را بکار گیرند. مسعود حقیقت مدیرکل پایش هواشناسی کشاورزی در گفت‌وگو با  باشگاه خبرنگاران جوان، گفت: بنابر نقشه های پیش یابی هواشناسی طی ۲۴ ساعت آینده در استان خراسان رضوی، بارش پراکنده باران و در برخی نقاط هرمزگان و ارتفاعات جنوب کرمان رگبار و رعد و برق و وزش باد شدید پیش بینی می شود.وی افزود: طی ۲۴ ساعت آینده در اکثر مناطق جوی آرام و در شهرهای صنعتی و پرجمعیت انباشت آلاینده ها انتظار می رود. حقیقت ادامه داد: روز یکشنبه در استان های کردستان، کرمانشاه و جنوب آذربایجان غربی ابرناکی و بارش پراکنده و روز دوشنبه در استان های کردستان، کرمانشاه، لرستان، همدان، مرکزی، شمال استان های ایلام، چهارمحال و بختیاری و دامنه های جنوبی البرز بارش پراکنده پیش بینی می شود.این مقام مسئول از استمرار بارش در برخی نقاط خبر داد و گفت: روز دوشنبه در استان های قزوین، زنجان، البرز، تهران، برخی نقاط آذربایجان غربی، آذربایجان شرقی، گیلان و مازندران بارش پراکنده موقت باران انتظار می رود‌. به گفته وی، طی روزهای سه شنبه و چهارشنبه در نوار شرقی وزش باد شدید خواهیم داشت.مدیرکل پایش هواشناسی کشاورزی در توصیه ای به کشاورزان گفت: در مناطق سرد همچون شمال غرب که کشت کلزا به مرحله ۶ تا ۸ برگی نرسیده، کشاورزان عملیات کودپاشی را با پتاس انجام دهند.به گفته وی، کشاورزان مناطق شمال کشور اعم از استان گلستان طی ۲ تا ۳ روز آینده هر چه سریع تر نسبت به برداشت پنبه و سویا اقدام کنند تا دچار مشکل نشوند. این مقام مسئول ادامه داد: در مناطق مرکزی و جنوبی، کشاورزان هرچه سریع تر اقدام به کشت گندم آبی و جو کنند.حقیقت در توصیه ای به گلخانه داران گفت: با توجه به احتمال کاهش دما در مناطق جنوب شرق همچون هرمزگان، کرمان و سیستان و بلوچستان به گلخانه داران مناطق شرقی توصیه می شود که مراقب کاهش دمای صبحگاهی باشند.وی درباره آخرین وضعیت بارش کشور گفت: بنابر آخرین آمار مجموع بارش کشور از ابتدای سال تاکنون ۲۷‌.۷ میلی متر، در مدت مشابه سال قبل ۴۴‌.۲ میلی متر و نرمال بلندمدت ۳۹.۸ میلی متر است که این امر کاهش ۱۶‌.۵ میلی متری بارش نسبت به سال قبل و ۱۲.۱ درصدی دوره نرمال بلندمدت را نشان می دهد.این مقام مسئول گفت: مدل های اقلیمی نشان می دهد که  در فصل زمستان بارش ها نرمال و فراتر از نرمال است، بدین منظور کشاورزان بویژه مناطق گرمسیر که کشت دیم را انجام ندارند، حداکثر تا ۲۰ آذر وقت دارند که از بارش های پایانی ماه بهره مند شوند.
140,﻿به گزارش خبرنگار اقتصادی خبرگزاری فارس، خشکسالی بی‌سابقه در طول 50 سال گذشته سبب شد تا بسیاری از نقاط ضعف سازوکار مدیریت منابع در کشور عیان شده و مشخص شود نظام مدیریتی حوزه آب کشور تا چه اندازه در مواجه به پدیده‌ خشکسالی ناکارآمد است.موج نارضایتی شکل گرفته پیرامون مسئله آب از سوی مردم سبب شد تا سیاست‌گذاران آب در کشور بیشتر از گذشته از خسارات خلاء حضور حکمرانی موثر مطلع شده و به فکر حل اساسی مسئله باشند، بر همین اساس روز دوشنبه 8 آذرماه سال 1400، سومین جلسه بررسی مسائل آب چهار استان به ریاست معاون اول رئیس جمهور و با حضور دستگاه‌ها و استان‌داران ذی‌ربط برگزار شد.با وجود اینکه هیچ خروجی مستندی تاکنون از جلسات بررسی مسائل آبی مرکز کشور منتشر نشده اما علی اکبر محرابیان، وزیر نیرو در بیان راهکارهای طرح شده پیرامون حل مشکل کمبود آب مرکز کشور و راهکارهای تامین آب صنایع مرکز کشور در حوضه آبریز زاینده رود، می‌گوید: « در مواقعی که امکان انتقال صنایع کنار آب وجود ندارد می‌توانیم از انتقال آب دریا و پساب و روش‌های متعارف دنیا یعنی بازچرخانی استفاده کنیم.»پس از طرح بحث پیرامون مسئله انتقال آب از دریا به سمت صنایع حاضر در مرکز کشور، موجی از نگرانی کارشناسان در ارتباط با راهکارهای مورد بحث در جلسات بررسی مسائل چهار استان مرکزی کشور شکل گرفت.
149,﻿صادق ضیائیان در گفت‌وگو با خبرنگار اقتصادی خبرگزاری فارس، درباره آخرین وضعیت جوی کشور اظهار داشت: از بعدازظهر فردا سامانه بارشی وارد کشور می‌شود و در برخی نقاط آذربایجان غربی، آذربایجان شرقی و کردستان سبب بارش خواهد شد و روز پنجشنبه 11 آذر این سامانه در استان‌های واقع در شمال غرب و غرب کشور، جنوب غرب،‌ استان‌های ساحلی خزر، استان‌های واقع در دامنه‌های جنوبی البرز مرکزی و بخش‌هایی از مرکز کشور سبب بارش باران و وزش باد شدید موقت می‌شود.
151,﻿مدیرکل پیش‌بینی و هشدار سازمان هواشناسی افزود: این سامانه روز 11 آذر در استان‌های جنوبی، رعد و برق به همراه دارد و در برخی نقاط شمال غرب و استان‌های واقع در البرز مرکزی و زاگرس مرکزی سبب بارش برف می‌شود.وی اضافه کرد: روز جمعه بارش در غرب و شمال غرب قطع شده و در نیمه شرقی کشور، سواحل مرکزی و شرقی خزر، نواحی مرکزی و جنوبی کشور بارش خواهیم داشت.مدیرکل پیش بینی و هشدار سازمان هواشناسی اظهار داشت: روزهای پنجشنبه و جمعه هفته جاری دریای خزر مواج خواهد بود و شنبه 13 آذر بارش پراکنده در خراسان‌های رضوی و جنوبی داریم و این سامانه بارشی از کشور خارج می‌شود.ضیائیان افزود: روزهای پنجشنبه و جمعه کاهش 8 تا 12 درجه‌ای دما در نیمه شمالی کشور پیش‌بینی می‌شود.
157,﻿به گزارش خبرگزاری فارس از تهران، عابد ملکی معاون هماهنگی عمرانی استانداری تهران، امشب در جلسه کمیته کنترل آلودگی هوای استان تهران در استانداری با اشاره به ممنوعیت تردد شبانه خودروهای سنگین و دیزلی اظهار کرد: از تردد موتورسیکلت‌ها و خودروهای دودزا و فاقد معاینه فنی جلوگیری می‌شود، همچنین محدودیت فعالیت عمرانی آلاینده و روشن ماندن اتوبوس‌ها و مینی‌بوس‌ها در پایانه‌ها درنظر گرفته شده است.وی به پیش‌بینی هواشناسی و افزایش شاخص آلودگی به بیش از ۱۵۰ واحد اشاره کرد و گفت: استقرار فوریت‌های پزشکی مانند هلال احمر و اورژانس در نقاط مختلف پایتخت، نظارت ویژه برای جلوگیری از سوزاندن زباله و ضایعات، تعطیلی موقت واحدهای صنعتی تشدیدکننده آلودگی هوا، عدم استفاده از سوخت مایع در نیروگاه‌ها و صنایع مجاور کلان شهرها و اطلاع‌رسانی صداوسیما برای جلوگیری از ورزش‌های همگانی و انفرادی در فضای آزاد، از مصوبات جلسه اخیر کمیته اضطرار آلودگی هوای تهران است.معاون هماهنگی عمرانی استاندار تهران به تعطیلی سه روز آینده دانشگاه‌ها و مدارس مناطق ۲۲ گانه تهران و ارائه آموزش غیر حضوری تاکید کرد و ادامه داد: با توجه به وجود زیر ساخت های آموزش غیر حضوری مدارس روز چهار شنبه غیر حضوری هستند و مدارس حضوری تعطیل می باشند.وی افزود: همچنین مقرر شد با توجه به تشدید آلودگی هوا با مرخصی مادران کارمند دارای کودک نیز موافقت شود.
158,﻿ملکی در پایان به بهبود وضعیت در روزهای شنبه و یکشنبه هفته آینده خبر داد و خاطرنشان کرد: مصوبات این جلسه تا سه روز آینده اعتبار دارد و در ابتدای هفته آینده مجدد جلسه برگزار می‌کنیم.وی خاطر نشان کرد: با توجه به وضعیت کرونا و آلودگی هوا، رعایت بیشتر دستورالعمل‌های بهداشتی لازم است، همچنین برای کنترل وضعیت اول هفته آینده جلسه دیگری خواهیم داشت.
167,ماه کابوس‌وار آبی‌ها در داربی‌های پایتختدو تیم استقلال و پرسپولیس در ماه آذر ۶ بار به مصاف هم رفته‌اند که سرخ‌پوشان پایتخت پیروزی بیشتری داشته‌اند.به گزارش ایسنا، دو تیم استقلال و پرسپولیس در چارچوب هفته هشتم رقابت‌های لیگ برتر فوتبال به مصاف هم می‌روند. این بازی روز شنبه، ۱۳  آذر در ورزشگاه آزادی برگزار می‌شود.برگزاری این بازی در ماه آذر بهانه‌ای شد تا سری به تاریخچه دیدار این دو تیم در این ماه بزنیم.استقلال و پرسپولیس در ماه آذر شش بار به مصاف هم رفته‌اند که استقلال تنها یک بار موفق به پیروزی در این شش بازی شده است، سرخ‌پوشان پایتخت چهار بار در ماه آذر موفق به شکست استقلال شده‌اند و یک بازی هم با نتیجه تساوی به پایان رسیده است.نتایج دیدار دو تیم استقلال و پرسپولیس در داربی‌های پایتخت در ماه آذر به شرح زیر است:دیدار سیزدهم، ۱۸ آذر ۱۳۵۲استقلال ۱ - ۱ پرسپولیسگل‌ها: علی جباری در دقیقه۷۰ برای استقلال و همایون بهزادی در دقیقه ۴۶ برای پرسپولیس.دیدار پانزدهم، ۲۷ آذر ۱۳۵۳استقلال ۱ - ۲ پرسپولیسگل‌ها: غلامحسین مظلومی در دقیقه ۶۰ برای استقلال و صفر ایرانپاک در دقیقه ۵۰ و اسماعیل حاج رحیمی‌پور در دقیقه۷۰ برای پرسپولیس.دیدار بیستم ویکم، ۱۸ آذر ۱۳۵۶استقلال ۱ - ۲ پرسپولیسگل‌ها: حسن روشن در دقیقه ۸۵ برای استقلال و صفر ایرانپاک در دقایق ۱۵ و۳۴ برای پرسپولیس.دیدار سی و یکم، ۱۷ آذر ۱۳۶۸استقلال ۰ - ۱ پرسپولیسگل: رضا عابدیان در دقیقه ۱۸.دیدار هفتاد و سوم، ۱۸ آذر ۱۳۹۰استقلال ۳ - ۰ پرسپولیسگل‌ها: مجتبی جباری در دقایق ۹۵ و ۹۸ و اسماعیل شریفات در دقیقه ۱۰۷.دیدار هفتاد و نهم، ۲ آذر ۱۳۹۳استقلال ۱ - ۲ پرسپولیسگل‌ها: شهباززاده در ۴۴ برای استقلال، محمد نوری در دقیقه ۷۴ و امید عالیشاه در دقیقه ۸۱ برای پرسپولیس.
169,جزئیات ادامه بررسی لایحه بودجه سال ۱۴۰۱سخنگوی دولت جزئیات بررسی لایحه بودجه سال ۱۴۰۱ کل کشور را در جلسات هیات وزیران تشریح کرد.به گزارش ایسنا، علی بهادری جهرمی گفت: در این نشست هفت هزار میلیارد تومان برای تقویت صندوق بیمه محصولات کشاورزی پیش بینی شده که نهایی شدن آن در گرو مصوبه مجلس شورای اسلامی است.وی افزود: در ادامه بررسی جزییات بودجه و بحث و بررسی پیرامون بندها و تبصره‌های مختلف بودجه روز پنجشنبه در ۲ نوبت صبح و بعدازظهر جلسه هیات دولت با حضور رئیس جمهوری و همه اعضای کابینه تشکیل شد. بحث‌ها و بندهای مختلفی مورد بررسی قرار گرفت و بخشی از موضوعات به تصویب رسید، بخشی از موضوعات هم برای بررسی بیشتر به کارگروه‌هایی واگذار شد.وی گفت: از مسائلی که بنا شد در کارگروهی بررسی و تصمیم‌گیری شود، بحث اختلافی است که از سالیان گذشته پیرامون حق تبلیغات محیطی در مسابقات به ویژه مسابقات فوتبال بین فدراسیون فوتبال و صداوسیما و حالا وزارت ورزش و جوانان وجود داشته است.بهادری جهرمی گفت: مقرر شد کارگروهی یا کمیته‌ای متشکل از همین سه حوزه تشکیل و پیشنهاد مشترکی را برای تصمیم‌گیری نهایی در این خصوص تقدیم هیات وزیران شود.سخنگوی دولت ادامه داد: یکی دیگر از مصوبات هیات وزیران درخصوص بودجه ۱۴۰۱ که بنابر پیشنهاد وزیر جهاد کشاورزی تصویب شد، تقویت صندوق بیمه محصولات کشاورزی است که دولت تصمیم‌گیری کرد در صورت تصویب نهایی مجلس، هفت هزار میلیارد تومان در بودجه سال آینده برای تقویت این صندوق در زمینه جبران خسارت‌هایی که به کشاورزان وارد می‌شود، به ویژه به واسطه این بحران آبی که در کشور شاهدش هستیم؛ پیش بینی شود تا گوشه‌هایی از این خسارت‌ها را در حد توان جبران کند.وی افزود: یکی دیگر از مصوبات هیات وزیران در راستای توسعه اینترنت همگانی و دسترسی آحاد مردم کشور و برخی از روستاها و مناطق حاشیه‌ای و دورافتاده بود که زیرساخت‌ها و تاسیسات برقی لازم را به منظور توسعه شبکه اینترنت نداشتند، بنا شد که در توسعه نیروگاه‌های برقی به ویژه نیروگاه‌های تجدیدپذیر مثل حوزه‌های خورشیدی و بادی، این قبیل روستاها در اولویت اول قرار گیرند تا زیرساخت لازم برای توسعه اینترنت برای مردم این مناطق فراهم شود.بهادری جهرمی گفت: همچنین یکی از برنامه‌ها و مصوبه‌های بسیار خوب دولت موضوع تقویت نقش مردم در اداره کشور به ویژه حوزه‌های اقتصادی بود، مقرر شد دستگاه‌های اجرایی در زمینه عملیاتی شدن پروژه‌های نیمه‌تمام یا جاری هم در سطح ملی و هم در سطح استانی، با بخش خصوصی مشارکت‌هایی را تعریف و طراحی کنند و به نوعی بخش خصوصی را در اداره این امور، تکمیل این امور و همکاری با دولت فعال کنند و همه این موارد در صورت تصویب نهایی از سوی مجلس شورای اسلامی قابل اجرا خواهد بود.
